number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,system_attrs_tpe:relative_params:0,state
0,0.9447110969838244,2026-09-07 16:55:18.275193,2026-09-07 16:55:28.567702,0 days 00:00:10.292509,0.7799726016810132,45,10,425,3.968793330444372,0.07259248719561363,0.31203728088487304,,COMPLETE
1,0.9502154411245322,2026-09-07 16:55:28.568702,2026-09-07 16:55:38.243494,0 days 00:00:09.674792,4.162213204002109,79,8,720,1.0485387725194617,0.06803900745073706,1.9398197043239886,,COMPLETE
2,0.9558711490529672,2026-09-07 16:55:38.243494,2026-09-07 16:55:40.933058,0 days 00:00:02.689564,1.4561457009902097,169,5,309,3.347776308515933,0.02279379523765072,0.8638900372842315,,COMPLETE
3,0.9516415402779039,2026-09-07 16:55:40.934051,2026-09-07 16:55:43.774343,0 days 00:00:02.840292,0.9983689107917987,147,6,283,2.858051065806936,0.026969628335735185,1.5703519227860272,,COMPLETE
4,0.9538464061191334,2026-09-07 16:55:43.774343,2026-09-07 16:55:48.133111,0 days 00:00:04.358768,4.7444276862666666,248,4,556,1.4808945119975185,0.05182367293641893,0.13010318597055903,,COMPLETE
5,0.9542707292707293,2026-09-07 16:55:48.134111,2026-09-07 16:55:54.478023,0 days 00:00:06.343912,0.6101911742238941,142,6,685,4.833180632488465,0.01302780710309028,0.8803049874792026,,COMPLETE
6,0.9501748251748252,2026-09-07 16:55:54.479008,2026-09-07 16:55:56.352768,0 days 00:00:01.873760,2.600340105889054,154,10,220,4.597505784732165,0.020153425505297702,0.6234221521788219,,PRUNED
7,0.9469696969696969,2026-09-07 16:55:56.352768,2026-09-07 16:56:00.370267,0 days 00:00:04.017499,2.9894998940554256,238,10,311,8.699593128513321,0.08158812228791566,1.7896547008552977,,PRUNED
8,0.9543332929696564,2026-09-07 16:56:00.370866,2026-09-07 16:56:02.773007,0 days 00:00:02.402141,1.3567451588694794,217,5,253,2.1150972021685583,0.011302939920362371,0.777354579378964,,COMPLETE
9,0.9543983793983793,2026-09-07 16:56:02.773007,2026-09-07 16:56:06.557598,0 days 00:00:03.784591,0.3727532183988541,253,5,414,1.383324997521996,0.043477055106943,1.6043939615080793,,COMPLETE
10,0.9580545716909354,2026-09-07 16:56:06.557598,2026-09-07 16:56:09.997781,0 days 00:00:03.440183,2.071820472825856,160,4,480,6.106957780263627,0.020381948207533477,0.09294909608236324,"{""bagging_temperature"": 2.071820472825856, ""border_count"": 160, ""depth"": 4, ""iterations"": 480, ""l2_leaf_reg"": 6.106957780263627, ""learning_rate"": 0.020381948207533477, ""random_strength"": 0.09294909608236324}",COMPLETE
11,0.9559052059052058,2026-09-07 16:56:09.997781,2026-09-07 16:56:11.024999,0 days 00:00:01.027218,2.14095086890854,165,6,540,5.981376258467473,0.04457649290244919,0.3379459544827309,"{""bagging_temperature"": 2.14095086890854, ""border_count"": 165, ""depth"": 6, ""iterations"": 540, ""l2_leaf_reg"": 5.981376258467473, ""learning_rate"": 0.04457649290244919, ""random_strength"": 0.3379459544827309}",PRUNED
12,0.9575669280214736,2026-09-07 16:56:11.025457,2026-09-07 16:56:14.349125,0 days 00:00:03.323668,2.6635525235721174,141,4,467,2.08872866149164,0.02145819385878078,0.14290880708999032,"{""bagging_temperature"": 2.6635525235721174, ""border_count"": 141, ""depth"": 4, ""iterations"": 467, ""l2_leaf_reg"": 2.08872866149164, ""learning_rate"": 0.02145819385878078, ""random_strength"": 0.14290880708999032}",COMPLETE
13,0.9580712217075853,2026-09-07 16:56:14.349125,2026-09-07 16:56:17.132564,0 days 00:00:02.783439,2.723245279370383,162,4,391,9.813089213838829,0.013899067324508456,0.24357320726886028,"{""bagging_temperature"": 2.723245279370383, ""border_count"": 162, ""depth"": 4, ""iterations"": 391, ""l2_leaf_reg"": 9.813089213838829, ""learning_rate"": 0.013899067324508456, ""random_strength"": 0.24357320726886028}",COMPLETE
14,0.956495524677343,2026-09-07 16:56:17.133751,2026-09-07 16:56:21.487169,0 days 00:00:04.353418,3.467491014502758,168,5,539,5.890909073965523,0.014088471527970992,0.1201016673557864,"{""bagging_temperature"": 3.467491014502758, ""border_count"": 168, ""depth"": 5, ""iterations"": 539, ""l2_leaf_reg"": 5.890909073965523, ""learning_rate"": 0.014088471527970992, ""random_strength"": 0.1201016673557864}",COMPLETE
15,0.9577021463385099,2026-09-07 16:56:21.488168,2026-09-07 16:56:24.074291,0 days 00:00:02.586123,2.268428614458311,226,4,319,9.584821623258033,0.020638523041180603,0.42694733491966674,"{""bagging_temperature"": 2.268428614458311, ""border_count"": 226, ""depth"": 4, ""iterations"": 319, ""l2_leaf_reg"": 9.584821623258033, ""learning_rate"": 0.020638523041180603, ""random_strength"": 0.42694733491966674}",COMPLETE
16,0.955927405927406,2026-09-07 16:56:24.074291,2026-09-07 16:56:27.320787,0 days 00:00:03.246496,3.480338338620636,150,4,480,8.618126029149018,0.011090476328507869,0.9118657046628336,"{""bagging_temperature"": 3.480338338620636, ""border_count"": 150, ""depth"": 4, ""iterations"": 480, ""l2_leaf_reg"": 8.618126029149018, ""learning_rate"": 0.011090476328507869, ""random_strength"": 0.9118657046628336}",COMPLETE
17,0.9584637584637583,2026-09-07 16:56:27.322007,2026-09-07 16:56:29.601023,0 days 00:00:02.279016,3.567497291583903,116,4,310,7.008650545821066,0.020280369986564167,0.27725341880214016,"{""bagging_temperature"": 3.567497291583903, ""border_count"": 116, ""depth"": 4, ""iterations"": 310, ""l2_leaf_reg"": 7.008650545821066, ""learning_rate"": 0.020280369986564167, ""random_strength"": 0.27725341880214016}",COMPLETE
18,0.9572336754154935,2026-09-07 16:56:29.602023,2026-09-07 16:56:31.602898,0 days 00:00:02.000875,3.435084919771061,127,5,254,4.004596520150913,0.01613006204799473,0.054627001618395205,"{""bagging_temperature"": 3.435084919771061, ""border_count"": 127, ""depth"": 5, ""iterations"": 254, ""l2_leaf_reg"": 4.004596520150913, ""learning_rate"": 0.01613006204799473, ""random_strength"": 0.054627001618395205}",COMPLETE
19,0.9583812651994471,2026-09-07 16:56:31.603709,2026-09-07 16:56:34.433046,0 days 00:00:02.829337,3.245473070288472,142,4,380,7.561077689162334,0.030955644105692934,0.7333392298911068,"{""bagging_temperature"": 3.245473070288472, ""border_count"": 142, ""depth"": 4, ""iterations"": 380, ""l2_leaf_reg"": 7.561077689162334, ""learning_rate"": 0.030955644105692934, ""random_strength"": 0.7333392298911068}",COMPLETE
20,0.9580129466493104,2026-09-07 16:56:34.434029,2026-09-07 16:56:37.208900,0 days 00:00:02.774871,3.1876133821634687,123,4,373,7.306977628502371,0.017964546403421627,0.4851671232184013,"{""bagging_temperature"": 3.1876133821634687, ""border_count"": 123, ""depth"": 4, ""iterations"": 373, ""l2_leaf_reg"": 7.306977628502371, ""learning_rate"": 0.017964546403421627, ""random_strength"": 0.4851671232184013}",COMPLETE
21,0.9568265068265068,2026-09-07 16:56:37.208900,2026-09-07 16:56:39.630408,0 days 00:00:02.421508,1.7865248966726717,203,4,322,9.039827545940565,0.014912531527728834,0.006706279531001669,"{""bagging_temperature"": 1.7865248966726717, ""border_count"": 203, ""depth"": 4, ""iterations"": 322, ""l2_leaf_reg"": 9.039827545940565, ""learning_rate"": 0.014912531527728834, ""random_strength"": 0.006706279531001669}",COMPLETE
22,0.9619269619269619,2026-09-07 16:56:39.630408,2026-09-07 16:56:40.259174,0 days 00:00:00.628766,4.022987601386053,135,5,388,5.445724376853887,0.0397418328411564,0.3763642230629327,"{""bagging_temperature"": 4.022987601386053, ""border_count"": 135, ""depth"": 5, ""iterations"": 388, ""l2_leaf_reg"": 5.445724376853887, ""learning_rate"": 0.0397418328411564, ""random_strength"": 0.3763642230629327}",PRUNED
23,0.9567856386038205,2026-09-07 16:56:40.259174,2026-09-07 16:56:42.136771,0 days 00:00:01.877597,3.336980186455227,98,5,237,7.9798398517045355,0.02333853908991081,0.09218923408898552,"{""bagging_temperature"": 3.336980186455227, ""border_count"": 98, ""depth"": 5, ""iterations"": 237, ""l2_leaf_reg"": 7.9798398517045355, ""learning_rate"": 0.02333853908991081, ""random_strength"": 0.09218923408898552}",COMPLETE
24,0.9585780381234926,2026-09-07 16:56:42.136771,2026-09-07 16:56:45.527488,0 days 00:00:03.390717,3.1047082766087963,221,4,451,6.029603137605211,0.012930457148253197,0.1996819419283289,"{""bagging_temperature"": 3.1047082766087963, ""border_count"": 221, ""depth"": 4, ""iterations"": 451, ""l2_leaf_reg"": 6.029603137605211, ""learning_rate"": 0.012930457148253197, ""random_strength"": 0.1996819419283289}",COMPLETE
25,0.9574062301335028,2026-09-07 16:56:45.528482,2026-09-07 16:56:47.682210,0 days 00:00:02.153728,4.227642406680813,159,4,285,7.294405411809243,0.019683857913831936,0.6391647008298351,"{""bagging_temperature"": 4.227642406680813, ""border_count"": 159, ""depth"": 4, ""iterations"": 285, ""l2_leaf_reg"": 7.294405411809243, ""learning_rate"": 0.019683857913831936, ""random_strength"": 0.6391647008298351}",COMPLETE
26,0.962121212121212,2026-09-07 16:56:47.682210,2026-09-07 16:56:48.449400,0 days 00:00:00.767190,3.6107841783194456,221,5,458,5.2352426767421765,0.012669793953765383,0.5183302745835874,"{""bagging_temperature"": 3.6107841783194456, ""border_count"": 221, ""depth"": 5, ""iterations"": 458, ""l2_leaf_reg"": 5.2352426767421765, ""learning_rate"": 0.012669793953765383, ""random_strength"": 0.5183302745835874}",PRUNED
27,0.9626068376068376,2026-09-07 16:56:48.449400,2026-09-07 16:56:49.067403,0 days 00:00:00.618003,3.436122730774128,195,5,352,8.439612293588201,0.013487136138411484,0.24503390128640049,"{""bagging_temperature"": 3.436122730774128, ""border_count"": 195, ""depth"": 5, ""iterations"": 352, ""l2_leaf_reg"": 8.439612293588201, ""learning_rate"": 0.013487136138411484, ""random_strength"": 0.24503390128640049}",PRUNED
28,0.958754376936195,2026-09-07 16:56:49.067403,2026-09-07 16:56:51.336713,0 days 00:00:02.269310,3.8442614525661987,58,4,356,9.452667256153378,0.018381775434105022,0.25883848456709385,"{""bagging_temperature"": 3.8442614525661987, ""border_count"": 58, ""depth"": 4, ""iterations"": 356, ""l2_leaf_reg"": 9.452667256153378, ""learning_rate"": 0.018381775434105022, ""random_strength"": 0.25883848456709385}",COMPLETE
29,0.9580934217297854,2026-09-07 16:56:51.337715,2026-09-07 16:56:53.529561,0 days 00:00:02.191846,4.303708375200055,112,4,307,8.018920731421451,0.03166553926282634,0.36505289601832025,"{""bagging_temperature"": 4.303708375200055, ""border_count"": 112, ""depth"": 4, ""iterations"": 307, ""l2_leaf_reg"": 8.018920731421451, ""learning_rate"": 0.03166553926282634, ""random_strength"": 0.36505289601832025}",COMPLETE
